Tanggal,Irradiance_kWh_m2,Temperature_C,Humidity_%,Solar_Output_MWh
2025-01-01,5.5,28.2,65.2,115.48
2025-01-02,4.86,35.6,,100.6
2025-01-03,5.65,30.0,58.9,122.47
2025-01-04,6.52,26.8,58.0,142.08
2025-01-05,4.77,32.5,78.1,93.48
2025-01-06,15.0,26.3,83.6,
2025-01-07,6.58,30.6,69.3,135.33
2025-01-08,5.77,24.1,80.0,111.94
2025-01-09,4.53,26.0,73.6,91.07
2025-01-10,5.54,30.6,63.5,117.43
2025-01-11,4.54,10.0,73.6,91.19
2025-01-12,4.53,30.5,85.4,85.39
2025-01-13,5.24,29.7,69.6,107.62
2025-01-14,3.09,29.1,85.6,58.04
2025-01-15,,25.6,43.8,76.37
2025-01-16,4.44,27.8,120.0,87.0
2025-01-17,3.99,28.6,70.9,81.33
2025-01-18,5.31,33.2,67.0,110.61
2025-01-19,,31.0,70.9,
2025-01-20,3.59,24.7,50.1,81.21
2025-01-21,6.47,31.0,67.8,500.0
2025-01-22,4.77,28.8,,95.99
2025-01-23,5.07,,84.8,95.77
2025-01-24,3.58,31.8,,
2025-01-25,4.46,,61.9,95.19
2025-01-26,5.11,32.8,65.0,107.5
2025-01-27,3.85,27.5,79.2,75.07
2025-01-28,5.38,29.1,73.3,108.25
2025-01-29,4.4,,64.7,92.66
2025-01-30,,32.9,75.1,93.87
